rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
50086,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_AFRICA-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50087,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_AFRICA-Emerging-Indirect VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50088,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_TURKEY-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_TURKEY-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50089,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_TURKEY-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_TURKEY-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50090,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_TURKEY-Emerging-Indirect VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_TURKEY-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50091,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_MEAMSD-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_MEAMSD-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50092,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_MEAMSD-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_MEAMSD-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50093,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_MEAMSD-Emerging-Indirect VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_MEAMSD-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50094,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_FR-AFRICA-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_FR-AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50095,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_FR-AFRICA-Emerging-Indirect VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_FR-AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50096,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_FR-AFRICA-Emerging-Indirect VAR,{},0.15,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_FR-AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
50097,EIP Vertical-Subscription New-Platinum-India-Emerging-Direct VAR,{},0,51000,EIP Vertical - Payout Eligible Billing - Subscription New,Subscription New,Platinum,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50098,EIP Vertical-Subscription New-Gold-India-Emerging-Direct VAR,{},0,51000,EIP Vertical - Payout Eligible Billing - Subscription New,Subscription New,Gold,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50099,EIP Vertical-Subscription New-Reseller-India-Emerging-Direct VAR,{},0.125,51000,EIP Vertical - Payout Eligible Billing - Subscription New,Subscription New,Reseller,India-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
